trait	traitDataType	summaryStatistics	sampleSizeOfGwas	numberOfCategories	included	PMID	doi	catalogAccession	MrcIeuOpenGwasIdentifier	rawFileDownloadLink	polygenicScoreFilePath	pearsonCorrelation	spearmanCorrelation	rocCurveAuc	pearsonCorrelationOnAdjustedPhenotype	spearmanCorrelationOnAdjustedPhenotype	rocCurveAucOnAdjustedPhenotype	r2OnAdjustedPhenotype	reportedAuc	reportedR2	reportedR2OnAdjustedPhenotype
Monocyte concentration	continuous	mono.processed	1002426	1	Y	32888494	https://doi.org/10.1016/j.cell.2020.08.008	GCST90002393		http://ftp.sanger.ac.uk/pub/project/humgen/summary_statistics/UKBB_blood_cell_traits/	/groups/umcg-lifelines/tmp01/projects/ugli_blood_gsa/pgs_based_mixup_correction/output/PRScs/20201120//mono.processed/full.UGLI.pgs.profile	0.356387608	0.350666063	NA	0.363628032	0.357855591	NA	0.132225346			0.158586242
Erythrocyte concentration	continuous	rbc.processed	1002426	1	Y	32888494	https://doi.org/10.1016/j.cell.2020.08.008	GCST90002403		http://ftp.sanger.ac.uk/pub/project/humgen/summary_statistics/UKBB_blood_cell_traits/	/groups/umcg-lifelines/tmp01/projects/ugli_blood_gsa/pgs_based_mixup_correction/output/PRScs/20201120//rbc.processed/full.UGLI.pgs.profile	0.309249427	0.295131745	NA	0.392777216	0.38718372	NA	0.154273941			0.117645845
Thrombocyte concentration	continuous	plt.processed	1002426	1	Y	32888494	https://doi.org/10.1016/j.cell.2020.08.008	GCST90002395		http://ftp.sanger.ac.uk/pub/project/humgen/summary_statistics/UKBB_blood_cell_traits/	/groups/umcg-lifelines/tmp01/projects/ugli_blood_gsa/pgs_based_mixup_correction/output/PRScs/20201120//plt.processed/full.UGLI.pgs.profile	0.437360596	0.441981331	NA	0.450626978	0.457538273	NA	0.203064674			0.191945878
Neutrophil concentration	continuous	neut.processed	1002426	1	Y	32888494	https://doi.org/10.1016/j.cell.2020.08.008	GCST90002398		http://ftp.sanger.ac.uk/pub/project/humgen/summary_statistics/UKBB_blood_cell_traits/	/groups/umcg-lifelines/tmp01/projects/ugli_blood_gsa/pgs_based_mixup_correction/output/PRScs/20201120//neut.processed/full.UGLI.pgs.profile	0.268138636	0.267361894	NA	0.268314745	0.268221054	NA	0.071992802			0.080086361
EduYears	continuous	GWAS_EA_excl23andMe.processed	766345	1	Y	30038396	https://doi.org/10.1038/s41588-018-0147-3			https://www.dropbox.com/s/ho58e9jmytmpaf8/GWAS_EA_excl23andMe.txt?dl=0	/groups/umcg-lifelines/tmp01/projects/ugli_blood_gsa/pgs_based_mixup_correction/output/PRScs/20201120//GWAS_EA_excl23andMe.processed/full.UGLI.pgs.profile	0.215692244	0.199893659	NA	0.230264274	0.220804116	NA	0.053021636			0.114
Blondeness of hair	ordinal	ukb-d-1747_1.processed	360270	3	Y	NA			ukb-d-1747_1	https://gwas.mrcieu.ac.uk/files/ukb-d-1747_1/ukb-d-1747_1.vcf.gz	/groups/umcg-lifelines/tmp01/projects/ugli_blood_gsa/pgs_based_mixup_correction/output/PRScs/20201120//ukb-d-1747_1.processed/full.UGLI.pgs.profile	0.406308678	0.408738727	NA	0.40887682	0.375591868	NA	0.167180254			
Red hair colour	binary	ukb-d-1747_2.processed	360270	2	Y	NA			ukb-d-1747_2	https://gwas.mrcieu.ac.uk/datasets/ukb-d-1747_2/ukb-d-1747_2.vcf.gz	/groups/umcg-lifelines/tmp01/projects/ugli_blood_gsa/pgs_based_mixup_correction/output/PRScs/20201120//ukb-d-1747_2.processed/full.UGLI.pgs.profile	0.230805382	0.182542514	0.819368756	0.231225776	0.063966824	NA	0.053465359			
Type 2 diabetes	binary	T2D_European.BMIunadjusted.processed	298957	2	Y	29632382	https://doi.org/10.1038/s41588-018-0084-1	GCST007517		https://diagram-consortium.org/check_check.Mahajan2018b.T2D.3.php	/groups/umcg-lifelines/tmp01/projects/ugli_blood_gsa/pgs_based_mixup_correction/output/PRScs/20201120//T2D_European.BMIunadjusted.processed/full.UGLI.pgs.profile	0.085587763	0.081914472	0.619687096	0.087043563	0.038205097	NA	0.007576582	0.625623244		
Asthma	binary	TAGC_European_Ancestry.processed	142486	2	Y	29273806	https://doi.org/10.1038/s41588-017-0014-7	GCST005212		ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/DemenaisF_29273806_GCST005212/TAGC_meta-analyses_results_for_asthma_risk.zip	/groups/umcg-lifelines/tmp01/projects/ugli_blood_gsa/pgs_based_mixup_correction/output/PRScs/20201120//TAGC_European_Ancestry.processed/full.UGLI.pgs.profile	0.07416658	0.070237235	0.570942712	0.074351755	0.040334391	NA	0.005528183			
Coronary artery disease	binary	ebi-a-GCST005195.processed	547261	2	Y	29212778	https://doi.org/10.1161/circresaha.117.312086		ebi-a-GCST005195	https://gwas.mrcieu.ac.uk/files/ebi-a-GCST005195/ebi-a-GCST005195.vcf.gz	/groups/umcg-lifelines/tmp01/projects/ugli_blood_gsa/pgs_based_mixup_correction/output/PRScs/20201120//ebi-a-GCST005195.processed/full.UGLI.pgs.profile	0.063396474	0.062990313	0.625291983	0.066915433	0.026807654	NA	0.004477675	0.588231271		
