Name	Description	ColumnIdentifier	Path	FileName	TargetTrait
Triglycerides		TGL	/groups/umcg-lifelines/tmp01/releases/pheno_lifelines/v1/tab_separated_labels	Laboratory_assessment_Blood.dat	Triglyceride concentration
HDL Cholesterol		HDC	/groups/umcg-lifelines/tmp01/releases/pheno_lifelines/v1/tab_separated_labels	Laboratory_assessment_Blood.dat	HDL cholesterol
Highest completed education		EDUCATION	/groups/umcg-lifelines/tmp01/projects/ugli_blood_gsa/pgs_based_mixup_correction/data/lifelines/phenotypes/v1/tab_separated_labels	Questionnaire_Demographics.cleaned.dat	EduYears
Sex		GESLACHT	/groups/umcg-lifelines/tmp01/releases/pheno_lifelines/v1/tab_separated_labels	Participant (Pa_99_G).dat	
Type 1 diabetes		T1D.10	/groups/umcg-lifelines/tmp01/releases/pheno_lifelines_restructured/v1	diabetes/data/labels/diabetes first and second screening_final.txt	Type 1 diabetes
Type 2 diabetes		T2D.10	/groups/umcg-lifelines/tmp01/releases/pheno_lifelines_restructured/v1	diabetes/data/labels/diabetes first and second screening_final.txt	Type 2 diabetes
Asthma		asthma_baseline	/groups/umcg-lifelines/tmp01/releases/pheno_lifelines_restructured/v1	asthma/data/labels/asthma.txt	Asthma
Natural hair colour now		HAIR1	/groups/umcg-lifelines/tmp01/releases/pheno_lifelines/v1/tab_separated_labels	Questionnaire_Hair.dat	Red hair colour, Blondeness of hair
Schizophrenia		HEALTH72I9	/groups/umcg-lifelines/tmp01/projects/ugli_blood_gsa/pgs_based_mixup_correction/data/lifelines/phenotypes/v1/tab_separated_labels	Questionnaire_Health_General.cleaned.dat	
Heart attack		HEALTH19	/groups/umcg-lifelines/tmp01/projects/ugli_blood_gsa/pgs_based_mixup_correction/data/lifelines/phenotypes/v1/tab_separated_labels	Questionnaire_Health.cleaned.dat	Coronary artery disease
Since last questionnaire: heart attack		HEALTH100B1	/groups/umcg-lifelines/tmp01/projects/ugli_blood_gsa/pgs_based_mixup_correction/data/lifelines/phenotypes/v1/tab_separated_labels	Questionnaire_Health_General.cleaned.dat	Coronary artery disease
Balloon angioplasty/bypass surgery		HEALTH23	/groups/umcg-lifelines/tmp01/projects/ugli_blood_gsa/pgs_based_mixup_correction/data/lifelines/phenotypes/v1/tab_separated_labels	Questionnaire_Health.cleaned.dat	Coronary artery disease
Balloon angioplasty since last questionnaire		HEALTH101M1	/groups/umcg-lifelines/tmp01/projects/ugli_blood_gsa/pgs_based_mixup_correction/data/lifelines/phenotypes/v1/tab_separated_labels	Questionnaire_Health.cleaned.dat	Coronary artery disease
Liver cirrhosis		HEALTH72C6	/groups/umcg-lifelines/tmp01/projects/ugli_blood_gsa/pgs_based_mixup_correction/data/lifelines/phenotypes/v1/tab_separated_labels	Questionnaire_Health_General.cleaned.dat	Blood traits
Renal failure		HEALTH_72K	/groups/umcg-lifelines/tmp01/projects/ugli_blood_gsa/pgs_based_mixup_correction/data/lifelines/phenotypes/v1/tab_separated_labels	Questionnaire_Health.cleaned.dat	Blood traits
Cancer		HEALTH16A	/groups/umcg-lifelines/tmp01/projects/ugli_blood_gsa/pgs_based_mixup_correction/data/lifelines/phenotypes/v1/tab_separated_labels	Questionnaire_Health.cleaned.dat	Blood traits
Cancer, cured		HEALTH16D	/groups/umcg-lifelines/tmp01/projects/ugli_blood_gsa/pgs_based_mixup_correction/data/lifelines/phenotypes/v1/tab_separated_labels	Questionnaire_Health.cleaned.dat	Blood traits
Cancer Followup		HEALTH100C	/groups/umcg-lifelines/tmp01/projects/ugli_blood_gsa/pgs_based_mixup_correction/data/lifelines/phenotypes/v1/tab_separated_labels	Questionnaire_Health_General.cleaned.dat	Blood traits
Pregnancy Followup		FAM24C	/groups/umcg-lifelines/tmp01/releases/pheno_lifelines/v1/tab_separated_labels	Questionnaire_Family.dat	Blood traits
Pregnancy Baseline		FEM4	/groups/umcg-lifelines/tmp01/releases/pheno_lifelines/v1/tab_separated_labels	Questionnaire_Questions_for_females.dat	Blood traits
Age 1A1		AGE_1A1	/groups/umcg-lifelines/tmp01/releases/pheno_lifelines/v1/tab_separated_labels	Participant (Pa_99_G).dat	
Age 1A2		AGE_1A2	/groups/umcg-lifelines/tmp01/releases/pheno_lifelines/v1/tab_separated_labels	Participant (Pa_99_G).dat	
Age 1A3		AGE_1A3	/groups/umcg-lifelines/tmp01/releases/pheno_lifelines/v1/tab_separated_labels	Participant (Pa_99_G).dat	
Age 1B		AGE_1B	/groups/umcg-lifelines/tmp01/releases/pheno_lifelines/v1/tab_separated_labels	Participant (Pa_99_G).dat	
Age 1C		AGE_1C	/groups/umcg-lifelines/tmp01/releases/pheno_lifelines/v1/tab_separated_labels	Participant (Pa_99_G).dat	
Age 2A1		AGE_2A1	/groups/umcg-lifelines/tmp01/releases/pheno_lifelines/v1/tab_separated_labels	Participant (Pa_99_G).dat	
Age 2A2		AGE_2A2	/groups/umcg-lifelines/tmp01/releases/pheno_lifelines/v1/tab_separated_labels	Participant (Pa_99_G).dat	
